Company Name,Holding Company Name,Customer State Name,Ownership Type,Bundled & Delivery Only Total Customers,Bundled & Delivery Only Total Sales Mwh,"Bundled, Energy Only & Delivery Only Total Revenue $ 000s",Delivery Only Total Customers,Delivery Only Total Sales MWh,Delivery Only Total Revenue $ 000s
Alabama Power Co,Southern Co,Alabama,IOU," 1,546,483 "," 51,899,518 "," 6,638,906 ",,,
Alaska Electric Light & Power Co,Avista Corp,Alaska,IOU," 18,005 "," 426,785 "," 50,027 ",,,
Arizona Public Service Co,Pinnacle West Capital Corp,Arizona,IOU," 1,400,037 "," 33,701,404 "," 4,897,747 ",,,
Tucson Electric Power Co,Uns Energy Corp,Arizona,IOU," 455,209 "," 8,964,184 "," 1,229,018 ",,,
UNS Electric Inc,Uns Energy Corp,Arizona,IOU," 107,484 "," 1,905,700 "," 294,801 ",,,
Empire District Electric Co (The),Liberty,Arkansas,IOU," 5,653 "," 177,758 "," 17,321 ",,,
Entergy Arkansas LLC,Entergy Corp,Arkansas,IOU," 732,664 "," 23,423,314 "," 2,221,970 ",,,
Oklahoma Gas & Electric Co,OGE Energy Corp,Arkansas,IOU," 69,993 "," 2,586,896 "," 236,853 ",,,
Southwestern Electric Power Co,American Electric Power Co Inc,Arkansas,IOU," 127,618 "," 3,439,358 "," 314,646 ",,,
Bear Valley Electric Service,American States Water Co,California,IOU," 24,819 "," 138,275 "," 40,267 ",,,
CalPeco LLC,Liberty,California,IOU," 50,030 "," 573,460 "," 148,706 ",,,
Pacific Gas & Electric Co,PG&E Corp,California,IOU," 5,725,404 "," 74,202,968 "," 19,721,339 "," 3,578,552 "," 47,069,759 "," 9,491,218 "
PacifiCorp,Berkshire Hathaway Inc,California,IOU," 45,816 "," 747,356 "," 143,958 ",,,
San Diego Gas & Electric Co,Sempra Energy,California,IOU," 1,525,968 "," 16,691,173 "," 3,716,752 "," 1,182,529 "," 13,484,053 "," 2,529,955 "
Southern California Edison Co,Edison International,California,IOU," 5,297,361 "," 80,410,649 "," 17,341,330 "," 1,608,356 "," 29,064,148 "," 3,742,677 "
Black Hills Colorado Electric LLC,Black Hills Corp,Colorado,IOU," 101,718 "," 1,820,801 "," 242,396 ",,,
Public Service Co of Colorado,Xcel Energy Inc,Colorado,IOU," 1,589,710 "," 28,406,644 "," 3,437,275 ",,,
Connecticut Light & Power Co (The),Eversource Energy,Connecticut,IOU," 1,290,878 "," 20,151,389 "," 3,822,694 "," 292,661 "," 10,940,476 "," 1,310,027 "
United Illuminating Co (The),Avangrid Inc,Connecticut,IOU," 345,877 "," 4,842,995 "," 1,040,879 "," 72,489 "," 2,547,613 "," 325,628 "
Delmarva Power & Light Co,Exelon Corp,Delaware,IOU," 339,588 "," 7,673,491 "," 749,017 "," 38,378 "," 3,871,501 "," 101,300 "
Potomac Electric Power Co,Exelon Corp,District of Columbia,IOU," 346,303 "," 10,129,430 "," 1,036,457 "," 41,881 "," 6,920,746 "," 464,600 "
Duke Energy Florida,Duke Energy Corp,Florida,IOU," 2,009,464 "," 41,131,706 "," 5,920,382 ",,,
Florida Power & Light Co,NextEra Energy Inc,Florida,IOU," 5,905,174 "," 129,415,743 "," 15,874,692 ",,,
Florida Public Utilities Co,Chesapeake Utilities Corp,Florida,IOU," 30,021 "," 693,796 "," 108,213 ",,,
Tampa Electric Co,TECO Energy Inc,Florida,IOU," 849,876 "," 20,701,622 "," 2,570,159 ",,,
Georgia Power Co,Southern Co,Georgia,IOU," 2,804,103 "," 87,225,926 "," 10,195,974 ",,,
Hawaii Electric Light Co Inc,Hawaiian Electric Industries Inc,Hawaii,IOU," 89,923 "," 1,046,702 "," 475,556 ",,,
Hawaiian Electric Co Inc,Hawaiian Electric Industries Inc,Hawaii,IOU," 309,839 "," 6,134,550 "," 2,246,646 ",,,
Maui Electric Co Ltd,Hawaiian Electric Industries Inc,Hawaii,IOU," 71,906 "," 1,037,658 "," 434,810 ",,,
Avista Corp,Avista Corp,Idaho,IOU," 148,019 "," 3,531,121 "," 325,143 ",,,
Idaho Power Co,IDACORP Inc,Idaho,IOU," 621,373 "," 15,297,094 "," 1,496,780 ",,,
PacifiCorp,Berkshire Hathaway Inc,Idaho,IOU," 90,716 "," 3,727,499 "," 350,997 ",,,
Ameren Illinois,Ameren Corp,Illinois,IOU," 1,224,108 "," 33,566,359 "," 2,156,066 "," 635,564 "," 25,283,916 "," 1,006,800 "
Commonwealth Edison Co,Exelon Corp,Illinois,IOU," 4,130,749 "," 84,381,379 "," 6,743,612 "," 975,011 "," 54,264,458 "," 2,521,676 "
MidAmerican Energy Co,Berkshire Hathaway Inc,Illinois,IOU," 85,635 "," 1,830,333 "," 138,230 ", 101 ," 28,559 ", 578 
Mt Carmel Public Utility Co,Mt Carmel Public Utility Co,Illinois,IOU," 5,233 "," 83,678 "," 15,550 ",,,
Duke Energy Indiana,Duke Energy Corp,Indiana,IOU," 909,011 "," 26,440,606 "," 2,692,092 ",,,
Indiana Michigan Power Co,American Electric Power Co Inc,Indiana,IOU," 482,283 "," 14,997,856 "," 1,743,239 ",,,
Indianapolis Power & Light,AES Corp (The),Indiana,IOU," 530,802 "," 12,864,634 "," 1,563,637 ",,,
Northern Indiana Public Service Co LLC,NiSource Inc,Indiana,IOU," 492,700 "," 15,172,860 "," 1,785,949 ",,,
Southern Indiana Gas & Electric Co,CenterPoint Energy Inc,Indiana,IOU," 153,371 "," 4,818,812 "," 622,629 ",,,
Amana Society Service Co,Amana Society Service Co,Iowa,IO, 889 ," 66,971 "," 7,788 ",,,
Interstate Power & Light Co,Alliant Energy Corp,Iowa,IOU," 504,146 "," 13,651,615 "," 1,674,490 ",,,
MidAmerican Energy Co,Berkshire Hathaway Inc,Iowa,IOU," 738,335 "," 27,917,309 "," 2,104,053 ",,,
Empire District Electric Co (The),Liberty,Kansas,IOU," 9,915 "," 221,038 "," 27,970 ",,,
Evergy Kansas Central Inc,Evergy Inc,Kansas,IOU," 397,226 "," 9,613,774 "," 1,136,646 ",,,
Evergy Kansas South Inc,Evergy Inc,Kansas,IOU," 346,494 "," 9,748,788 "," 1,068,757 ",,,
Evergy Metro Inc,Evergy Inc,Kansas,IOU," 276,672 "," 6,316,282 "," 743,275 ",,,
Duke Energy Kentucky,Duke Energy Corp,Kentucky,IOU," 154,073 "," 3,974,760 "," 471,231 ",,,
Kentucky Power Co,American Electric Power Co Inc,Kentucky,IOU," 162,507 "," 5,321,277 "," 640,717 ",,,
